dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_170_TX_3_evaluation,smooth,0.0228117133794788,-0.06069226087143494,-0.2227632607265479,3.6703734138102,3.893136674536748,1.2553191489361701,0.365138405556284,0.1616800920598389,1457,84
m5,FOODS_1_172_CA_3_evaluation,smooth,0.0386854328263249,0.06596180378402208,0.1433505744233767,2.1732361184777136,2.029885544054337,1.1954248366013072,0.4533459212765871,0.1634773100054674,1530,57
m5,FOODS_1_173_WI_3_evaluation,lumpy,0.051779177407931,-0.014464383300558914,-0.0430288712875159,2.9748154756002103,3.0178443468877263,1.6447841726618706,0.7123723744106503,0.3920174958993986,1112,69
m5,FOODS_1_174_CA_3_evaluation,lumpy,0.4337704306916742,-0.013782245801319778,-0.0139275844347854,1.0105453520101713,1.0244729364449567,1.8180914512922466,0.5229362912163465,0.4499726626571897,1006,38
m5,FOODS_1_176_CA_4_evaluation,lumpy,0.0279583234162089,0.048844561637781836,0.0276803918365882,0.5667036597003072,0.539023267863719,5.82484076433121,0.9985106661680625,0.8214894826606026,314,19
m5,FOODS_1_178_CA_2_evaluation,intermittent,0.0029694614334684,-0.020326050280278746,-0.0307091228033986,1.5108258800871894,1.541535002890588,1.3877086494688922,0.482833641343492,0.2793876435210498,1318,69
m5,FOODS_1_182_WI_2_evaluation,lumpy,0.0967661349754558,-0.001073616795240665,-0.002268940481378,2.1133615750388737,2.115630515520252,2.478319783197832,0.5817958395066567,0.4184397163120567,738,61
m5,FOODS_1_184_CA_3_evaluation,lumpy,0.0190471951759553,0.16781488032468767,0.7344944831352218,4.376813794546255,3.642319311411033,1.4424290220820188,0.911394419043217,0.1546666666666666,1268,67
m5,FOODS_1_190_CA_3_evaluation,lumpy,0.1863841713589035,-0.028117791002325615,-0.0903749189713796,3.2141543040811675,3.304529223052547,1.985884907709012,0.5933958133383814,0.1472222222222222,921,46
m5,FOODS_1_191_WI_1_evaluation,intermittent,0.1485701514498972,-0.02971919690304289,-0.0353616943013745,1.1898603591725552,1.2252220534739298,3.8832271762208066,0.48327644373910505,0.6407322654462243,471,35
m5,FOODS_1_193_TX_2_evaluation,intermittent,0.0039443717358939,0.04464915890271083,0.0467358635473122,1.046735586870701,0.9999997233233884,2.6203438395415475,0.36991388476579445,0.5983889528193326,698,21
m5,FOODS_1_194_CA_2_evaluation,erratic,0.0087343779429756,-0.05915357122496507,-0.134797372822101,2.2787698194832124,2.413567192305313,1.297163120567376,0.6081197236664699,0.2290869327501367,1410,73
m5,FOODS_1_203_CA_2_evaluation,lumpy,0.1136236302103267,-0.010306096567850026,-0.0323198868801437,3.13599689924951,3.1683167861296537,2.078409090909091,1.707164676330705,0.5188627665390924,880,36
m5,FOODS_1_204_TX_3_evaluation,lumpy,0.0083761622202085,0.0927185123379193,0.07597000941679,0.8193618243130543,0.7433918148962643,5.751572327044025,0.574373313137698,0.8184931506849316,318,28
